hfpxzc href,DUwDvf,F7nice,DkEaL,Io6YTe,ZDu9vd,Io6YTe (2),CsEnBe href,Io6YTe (3),CsEnBe href (2),Io6YTe (4),aoRNLd src
https://www.google.com.tw/maps/place/%E7%81%A3%E4%B8%AD%E6%B0%B4%E9%9B%BB%E8%A1%8C%EF%BC%8F%E6%B0%B4%E9%9B%BB%E7%B6%AD%E4%BF%AE/data=!4m7!3m6!1s0x346e050009f85bb1:0xa15baf726568999a!8m2!3d22.6499269!4d120.3189493!16s%2Fg%2F11xfk_gm8z!19sChIJsVv4CQAFbjQRmploZXKvW6E?authuser=0&hl=zh-TW&rclk=1,灣中水電行／水電維修,5.0,水電承辦商,807高雄市三民區灣中街298巷,已打烊,聲明商家擁有權,tel:0928728227,,,0928 728 227,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSygXqwUKJUJodVv-xVP_Rx7fK3ocP9Bx1HX9fJJKrr3jWAMlu8R0HQ5rJ00BMGOLuYZxLWvw7_Rta4OHs773rwxegSXoLmuSI_4O1mXyern8t8_sm73EV9XLvKeDQYN6eAFqb-oGlQ7IPe4=w408-h470-k-no
https://www.google.com.tw/maps/place/%E6%98%8E%E7%BE%8E%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x346e04df90d910c7:0xa37d1cd430adfee6!8m2!3d22.6535071!4d120.3224791!16s%2Fg%2F11f2b0njj6!19sChIJxxDZkN8EbjQR5v6tMNQcfaM?authuser=0&hl=zh-TW&rclk=1,明美水電行,3.8,水匠,807高雄市三民區新民路170巷24號,已打烊,聲明商家擁有權,tel:0929272267,,,0929 272 267,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7OuTJgpY_ahPNAlglPTuiw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=119.65141&pitch=0&thumbfov=100
https://www.google.com.tw/maps/place/%E7%9B%8A%E5%84%80%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E3%80%8A%E9%AB%98%E9%9B%84%E6%AB%BB%E8%8A%B1%E3%80%81%E9%AB%98%E9%9B%84%E6%9E%97%E5%85%A7%E3%80%81%E8%8E%8A%E9%A0%AD%E5%8C%97%E8%81%B7%E4%BA%BA%E5%BA%97%E3%80%81%E9%AB%98%E9%9B%84%E5%96%9C%E7%89%B9%E9%BA%97%E3%80%81%E9%AB%98%E9%9B%84%E6%B5%B7%E7%88%BE%E3%80%81%E9%9B%BB%E5%85%89%E7%89%8C%E3%80%81%E5%87%B1%E6%92%92%E8%A1%9B%E6%B5%B4%E3%80%81%E5%92%8C%E6%88%90%E7%89%8C%E3%80%81%E4%BA%AC%E5%85%B8%E8%A1%9B%E6%B5%B4%E3%80%81%E9%AB%98%E9%9B%84%E7%86%B1%E6%B0%B4%E5%99%A8%E3%80%81%E9%AB%98%E9%9B%84%E9%9B%BB%E7%86%B1%E6%B0%B4%E5%99%A8%E3%80%81%E7%93%A6%E6%96%AF%E7%88%90%E3%80%81%E6%8E%92%E6%B2%B9%E7%85%99%E6%A9%9F%E3%80%81+%E9%9B%BB%E7%86%B1%E6%B0%B4%E5%99%A8%E3%80%81%E9%A6%AC%E6%A1%B6%E3%80%81%E8%87%89%E7%9B%86+%E3%80%8B/data=!4m7!3m6!1s0x346e04d05444f805:0xc72eef14618afd0a!8m2!3d22.6437191!4d120.334661!16s%2Fg%2F1pzss9kcc!19sChIJBfhEVNAEbjQRCv2KYRTvLsc?authuser=0&hl=zh-TW&rclk=1,益儀水電材料《高雄櫻花、高雄林內、莊頭北職人店、高雄喜特麗、高雄海爾、電光牌、凱撒衛浴、和成牌、京典衛浴、高雄熱水器、高雄電熱水器、瓦斯爐、排油煙機、 電熱水器、馬桶、臉盆 》,4.9,熱水系統供應商,807高雄市三民區義華路338號,已打烊,07 384 9030,tel:073849030,,,07 384 9030,https://lh3.googleusercontent.com/p/AF1QipOty_Da1mYS5wKQrY7jU791HyTfDEyf-UMySL7x=w408-h544-k-no
https://www.google.com.tw/maps/place/%E8%A9%A0%E7%99%BC%E5%AF%A6%E6%A5%AD%E8%A1%8C-%E6%B0%B4%E9%9B%BB%E9%A1%A7%E5%B8%AB%E5%85%84/data=!4m7!3m6!1s0x6a3637c7b32cf0d3:0xe64d4bc0a4305ecf!8m2!3d22.6522763!4d120.3218629!16s%2Fg%2F11v01kd6_p!19sChIJ0_Ass8c3NmoRz14wpMBLTeY?authuser=0&hl=zh-TW&rclk=1,詠發實業行-水電顧師兄,5.0,水電承辦商,807高雄市三民區新民路151巷23號,已打烊,0915 030 866,tel:0915030866,,,0915 030 866,https://lh3.googleusercontent.com/p/AF1QipMK9u8Q_ADAEOdPvLCm2DSiqUiaxbL0qBzUVy7Q=w408-h725-k-no
https://www.google.com.tw/maps/place/%E5%90%8D%E5%8F%8B%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m7!3m6!1s0x346e05a0f880290d:0x5a5af59620178a27!8m2!3d22.6406135!4d120.3346264!16s%2Fg%2F11f6krw8ds!19sChIJDSmA-KAFbjQRJ4oXIJb1Wlo?authuser=0&hl=zh-TW&rclk=1,名友水電材料專賣店,4.4,水管用品店,807高雄市三民區覺民路360-2號,已打烊,elions.com.tw,http://www.elions.com.tw/,elions.com.tw,http://www.elions.com.tw/,07 382 0992,https://lh3.googleusercontent.com/p/AF1QipPrevnDuJeSsfFWcQTcMxekJVfp9PRNVLj3J2FC=w408-h306-k-no
https://www.google.com.tw/maps/place/%E6%96%B0%E5%85%89%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x346e04df964e4b3d:0x90dcaf565b55bb7a!8m2!3d22.653282!4d120.322436!16s%2Fg%2F1pzsrq0cp!19sChIJPUtOlt8EbjQRertVW1av3JA?authuser=0&hl=zh-TW&rclk=1,新光水電行,3.0,水匠,807台灣三民區新民路168號,,聲明商家擁有權,tel:073836148,,https://business.google.com/create?fp=10438410821772360570&hl=zh-TW&authuser=0&gmbsrc=tw-zh-tw-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=tw-zh-tw-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,07 383 6148,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DqC4c4nsmtMAKDvt7Ru73A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=52.839207&pitch=0&thumbfov=100
https://www.google.com.tw/maps/place/%E7%AB%8B%E6%98%87%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B%E8%A1%8C/data=!4m7!3m6!1s0x346e04f0fb09306f:0x893f52ae56af44b5!8m2!3d22.645053!4d120.3055099!16s%2Fg%2F1pzrwlvyp!19sChIJbzAJ-_AEbjQRtUSvVq5SP4k?authuser=0&hl=zh-TW&rclk=1,立昇水電工程行,4.4,建築工程,807高雄市三民區十全一路381號,,聲明商家擁有權,tel:073119719,,https://business.google.com/create?fp=9889714215461012661&hl=zh-TW&authuser=0&gmbsrc=tw-zh-tw-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=tw-zh-tw-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,07 311 9719,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kdO2X5HzkGv7Iz4stVDXEA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.74031&pitch=0&thumbfov=100
https://www.google.com.tw/maps/place/%E6%96%B0%E6%B4%BA%E6%98%8C%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99-%E5%A4%A7%E6%98%8C%E5%BA%97+%E8%88%9E%E5%85%89LED%E9%9B%BB%E7%87%88+%E9%96%8B%E9%97%9C%E6%8F%92%E5%BA%A7+%E9%A6%AC%E9%81%94+%E6%B0%B4%E5%A1%94+%E5%87%B1%E6%92%92%E8%A1%9B%E6%B5%B4%E8%A8%AD%E5%82%99+%E5%8D%97%E4%BA%9E%E5%A1%91%E8%86%A0+%E4%BA%94%E9%87%91%E5%B7%A5%E5%85%B7+%E6%B0%B4%E9%9B%BB%E5%A7%94%E4%BB%BB/data=!4m7!3m6!1s0x346e0512f023719d:0xa1ae34377062436!8m2!3d22.6539953!4d120.3260846!16s%2Fg%2F11jxb6y8k3!19sChIJnXEj8BIFbjQRNiQGd0PjGgo?authuser=0&hl=zh-TW&rclk=1,新洺昌水電材料-大昌店 舞光LED電燈 開關插座 馬達 水塔 凱撒衛浴設備 南亞塑膠 五金工具 水電委任,4.6,水管用品店,80754高雄市三民區大昌一路120號,已打烊,facebook.com,https://www.facebook.com/%E6%96%B0%E6%B4%BA%E6%98%8C%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99-%E5%A4%A7%E6%98%8C%E5%88%86%E5%BA%97-100167161756810/,facebook.com,https://www.facebook.com/%E6%96%B0%E6%B4%BA%E6%98%8C%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99-%E5%A4%A7%E6%98%8C%E5%88%86%E5%BA%97-100167161756810/,07 383 5565,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwvZJ8FHovm4jCt8Vg95oU3d6kzMTQ7IB4rcGxSso0JZ8HodRyXP9RElduAuXptsKVoUY164AcUviOLKK0dS7Nwff5_cJ4k4UDpJpjsxF6P0jz8sSWMC0MitT0hpkoAyVKEoN8j=w408-h306-k-no
https://www.google.com.tw/maps/place/%E9%98%BF%E5%85%AC%E5%BA%97%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99/data=!4m7!3m6!1s0x346e04c46bf7ba9d:0xdf760afa80995693!8m2!3d22.6389607!4d120.3273713!16s%2Fg%2F11f0wkm_p5!19sChIJnbr3a8QEbjQRk1aZgPoKdt8?authuser=0&hl=zh-TW&rclk=1,阿公店水電材料,3.4,家居用品店,807高雄市三民區九如一路527號,已打烊,聲明商家擁有權,tel:073872618,,,07 387 2618,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw49KWrJR6M0GqKT1KAuVmdhfwOhps0hqirArescucQgV7i1MpN9JH8c10b92tN33iL0kwFpwQR0V6d2lAQeV4QnkS7VG0HW8gQoj_FNTrHFysgGtct6edkFwxUVx3MglXRe3Ee=w408-h704-k-no
https://www.google.com.tw/maps/place/%E6%96%B0%E7%9B%9B+-+%E7%86%B1%E6%B0%B4%E5%99%A8+%E7%93%A6%E6%96%AF%E7%88%90+%E6%B0%B4%E9%9B%BB%E7%93%A6%E6%96%AF%E8%A3%9D%E4%BF%AE+%E5%BF%AB%E9%80%9F%E5%88%B0%E5%BA%9C%E6%9C%8D%E5%8B%99+%E7%B7%8A%E6%80%A5%E6%96%BD%E5%B7%A5/data=!4m7!3m6!1s0x346e04e11786617b:0x39a922d9e6f0f47c!8m2!3d22.6517259!4d120.3168911!16s%2Fg%2F1tcvm033!19sChIJe2GGF-EEbjQRfPTw5tkiqTk?authuser=0&hl=zh-TW&rclk=1,新盛 - 熱水器 瓦斯爐 水電瓦斯裝修 快速到府服務 緊急施工,5.0,熱水系統供應商,807高雄市三民區鼎成街28號,已打烊,facebook.com,https://www.facebook.com/profile.php?id=100083121142657&mibextid=ZbWKwL,facebook.com,https://www.facebook.com/profile.php?id=100083121142657&mibextid=ZbWKwL,0928 688 359,https://lh3.googleusercontent.com/p/AF1QipPfGw8l6TcVkLHdnGCtSIUu6KDznR-vuI4uE_HT=w408-h306-k-no
https://www.google.com.tw/maps/place/%E8%AC%99%E6%88%90%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x346e04d212a2b319:0x3bc456de49a63101!8m2!3d22.6410118!4d120.3391401!16s%2Fg%2F11gf629mcm!19sChIJGbOiEtIEbjQRATGmSd5WxDs?authuser=0&hl=zh-TW&rclk=1,謙成水電行,5.0,居家服務,807高雄市三民區褒揚街299巷8號,已打烊,0937 389 707,tel:0937389707,,,0937 389 707,https://lh3.googleusercontent.com/p/AF1QipOc0Io9wc59bxO_S1_feIbdkwQeWrKwzvfg_VUl=w408-h544-k-no
https://www.google.com.tw/maps/place/%E8%A9%A0%E8%A3%95%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B%E6%9D%90%E6%96%99%E8%A1%8C-%E8%8E%8A%E9%A0%AD%E5%8C%97%E8%81%B7%E4%BA%BA%E5%BA%97/data=!4m7!3m6!1s0x346e04d344613e91:0xfeb65231542f9a08!8m2!3d22.644102!4d120.342544!16s%2Fg%2F11b6v96kqs!19sChIJkT5hRNMEbjQRCJovVDFStv4?authuser=0&hl=zh-TW&rclk=1,詠裕水電工程材料行-莊頭北職人店,3.9,商店,807高雄市三民區陽明路320號,已打烊,facebook.com,https://facebook.com/b8641753,facebook.com,https://facebook.com/b8641753,07 384 8209,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=10xUi8dXDTGml33hsmQasQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=102.179855&pitch=0&thumbfov=100
https://www.google.com.tw/maps/place/%E7%99%BB%E7%9A%87%E6%B0%B4%E9%9B%BB%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/data=!4m7!3m6!1s0x346e04dea06d8b91:0xd62d2625415daadf!8m2!3d22.6486472!4d120.3248784!16s%2Fg%2F1vzv1fhn!19sChIJkYttoN4EbjQR36pdQSUmLdY?authuser=0&hl=zh-TW&rclk=1,登皇水電有限公司,3.7,水管用品店,807高雄市三民區大順二路431號,已打烊,聲明商家擁有權,tel:073811623,,,07 381 1623,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ISSf2pHaREwkza5kf9FcPg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=252.67818&pitch=0&thumbfov=100
https://www.google.com.tw/maps/place/%E5%8A%9B%E7%91%8B%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x346e04d45eadd2d3:0x7e056f99263b84c0!8m2!3d22.64698!4d120.3402931!16s%2Fg%2F11gb3t2zs9!19sChIJ09KtXtQEbjQRwIQ7JplvBX4?authuser=0&hl=zh-TW&rclk=1,力瑋水電行,4.4,商店,807高雄市三民區黃興路179號,已打烊,聲明商家擁有權,tel:073830146,,,07 383 0146,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyz4u6OlYf7ufLhs5X24P5igTCZfYdtsXgqlD6IJWbnVbFEe7bnCYk-vPPO2NhO5dKC6N53qFoh_uW8Tqk6imtuts6Ei8YjekWVKobHQ8rHrqvc7q8oHO8swPaBpeQz2yLgmxrA=w408-h543-k-no
https://www.google.com.tw/maps/place/%E6%9D%89%E5%8F%8B%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m7!3m6!1s0x346e05f7e74c99f5:0x13ca92d14f00de04!8m2!3d22.655421!4d120.319973!16s%2Fg%2F11vhgh727h!19sChIJ9ZlM5_cFbjQRBN4AT9GSyhM?authuser=0&hl=zh-TW&rclk=1,杉友水電材料專賣店,4.9,水管用品店,807068高雄市三民區鼎山街432號,已打烊,elions.com.tw,http://www.elions.com.tw/,elions.com.tw,http://www.elions.com.tw/,07 383 0181,https://lh3.googleusercontent.com/p/AF1QipO081IJw3igj29gRmYb9-hnIbOaTWr14ob7vIkL=w408-h544-k-no
https://www.google.com.tw/maps/place/%E6%A6%AE%E7%8D%BB%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x346e04ef1cc463c9:0xb903da5aaa399b3!8m2!3d22.643402!4d120.3126046!16s%2Fg%2F1pzy5sjnq!19sChIJyWPEHO8EbjQRs5mjqqU9kAs?authuser=0&hl=zh-TW&rclk=1,榮獻水電行,3.0,水匠,807高雄市三民區熱河一街46號,已打烊,聲明商家擁有權,tel:073117961,,,07 311 7961,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uV_iokdrcho0kbdEmi4rDg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=19.318468&pitch=0&thumbfov=100
https://www.google.com.tw/maps/place/%E6%85%B6%E8%80%80%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x346e05c3aab3264f:0xa2b645e138cfd116!8m2!3d22.652982!4d120.3331918!16s%2Fg%2F11j9_72klt!19sChIJTyazqsMFbjQRFtHPOOFFtqI?authuser=0&hl=zh-TW&rclk=1,慶耀水電行,,水匠,807高雄市三民區昭良街11號,已打烊,0937 642 001,tel:0937642001,,,0937 642 001,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ij_3cv5yrfiR22Bm1cJp1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=141.87727&pitch=0&thumbfov=100
https://www.google.com.tw/maps/place/%E4%B9%99%E4%B8%80%E6%B0%B4%E9%9B%BB%E8%A1%9B%E7%94%9F%E5%B7%A5%E7%A8%8B%E8%A1%8C/data=!4m7!3m6!1s0x346e04994d973f29:0x55ffef2b6aa3ffcd!8m2!3d22.6439714!4d120.3327269!16s%2Fg%2F1hm3fxx92!19sChIJKT-XTZkEbjQRzf-jaivv_1U?authuser=0&hl=zh-TW&rclk=1,乙一水電衛生工程行,1.6,水電承辦商,807高雄市三民區壽昌路231號,,bfirst.com.tw,http://bfirst.com.tw/,bfirst.com.tw,http://bfirst.com.tw/,0928 396 107,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DXEEYgvE9Tza1wrhSwSG0A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=165.40916&pitch=0&thumbfov=100
